study,colony,cca,date,doy,adult.num,pupae.num,larvae.num,eggs.num,queen,honey.cells,honey.kg,pollen.cells,pollen.g
LSCFS_2013_1,A1,CCA2,5/30/2013,150,7323,19092,6192,344,1,14104,7.052,3784,870.32
LSCFS_2013_1,A1,CCA3,6/23/2013,174,5702,0,4644,9632,1,15996,7.998,10836,2492.28
LSCFS_2013_1,A1,CCA4,7/17/2013,198,4472,15996,8944,3784,1,15824,7.912,4816,1107.68
LSCFS_2013_1,A1,CCA5,8/14/2013,226,7155,17888,10492,1892,1,10664,5.332,7740,1780.2
LSCFS_2013_1,A1,CCA6,9/10/2013,253,5311,13760,7396,8256,1,19264,9.632,4128,949.44
LSCFS_2013_1,A1,CCA7,10/16/2013,289,7770,3612,2236,3096,1,29240,14.62,2752,632.96
LSCFS_2013_1,A1,CCA8,3/22/2014,81,12354,20296,6192,3440,1,14104,7.052,7396,1701.08
LSCFS_2013_1,A2,CCA2,5/30/2013,150,6820,21844,8428,5160,1,16168,8.084,2408,553.84
LSCFS_2013_1,A2,CCA3,6/23/2013,174,8888,19436,8600,9288,1,5676,2.838,1204,276.92
LSCFS_2013_1,A2,CCA4,7/17/2013,198,8329,24424,11352,10492,1,11008,5.504,3440,791.2
LSCFS_2013_1,A2,CCA5,8/14/2013,226,9000,26488,11868,4816,1,516,0.258,1376,316.48
LSCFS_2013_1,A2,CCA6,9/10/2013,253,6652,13072,5848,5848,1,9976,4.988,2236,514.28
LSCFS_2013_1,A2,CCA7,10/16/2013,289,5646,6708,3956,2408,1,8772,4.386,2752,632.96
LSCFS_2013_1,A2,CCA8,3/22/2014,81,8776,12728,9804,4472,1,7568,3.784,6364,1463.72
LSCFS_2013_1,B2,CCA1,5/12/2013,132,4919,9460,5332,3956,1,2408,1.204,2580,593.4
LSCFS_2013_1,B2,CCA2,5/30/2013,150,8329,20124,8944,4300,1,7396,3.698,4644,1068.12
LSCFS_2013_1,B2,CCA3,6/23/2013,174,6988,23736,12900,4472,1,5504,2.752,3096,712.08
LSCFS_2013_1,B2,CCA4,7/17/2013,198,5478,22704,12728,4300,1,8256,4.128,4644,1068.12
LSCFS_2013_1,B2,CCA5,8/14/2013,226,5478,0,0,4472,1,5848,2.924,4644,1068.12
LSCFS_2013_1,B2,CCA6,9/10/2013,253,3466,13072,5848,5848,1,10836,5.418,3268,751.64
LSCFS_2013_1,B2,CCA7,10/16/2013,289,3410,4128,2408,1376,1,12556,6.278,3440,791.2
LSCFS_2013_1,B8,CCA1,5/12/2013,132,6037,8428,5848,4988,1,3956,1.978,2580,593.4
LSCFS_2013_1,B8,CCA2,5/30/2013,150,3130,7568,1720,3268,1,6192,3.096,1376,316.48
LSCFS_2013_1,B8,CCA3,6/23/2013,174,5981,0,10492,10836,1,14964,7.482,5332,1226.36
LSCFS_2013_1,B8,CCA4,7/17/2013,198,6373,14964,4300,2236,1,9976,4.988,3612,830.76
LSCFS_2013_1,B8,CCA5,8/14/2013,226,9279,11352,5160,4300,1,10148,5.074,5160,1186.8
LSCFS_2013_1,B8,CCA6,9/10/2013,253,6932,15308,4816,3096,1,17888,8.944,2236,514.28
LSCFS_2013_1,B8,CCA7,10/16/2013,289,6037,4128,2064,1204,1,23220,11.61,4128,949.44
LSCFS_2013_1,B8,CCA8,3/22/2014,81,7994,10836,6708,2924,1,16856,8.428,5848,1345.04
LSCFS_2013_1,D4,CCA1,5/12/2013,132,4360,9116,3268,2924,1,8084,4.042,4300,989
