study,site,assessment.file,feeding.schedule.file,date,AdultBees_BH_mean,Honey_BH_mean,Pupae_BH_mean,Larvae_BH_mean,Pollen_BH_mean,ZeroAdultReps
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_1_FeedingSchedule.txt,7/21/2013,1156.2,2.794572795,1011.7,0,53.59627068,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_1_FeedingSchedule.txt,8/21/2013,2032.2,9.487252049,393.25,543.85,27.03205911,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_1_FeedingSchedule.txt,9/21/2013,1697.35,12.05675582,646.9,257.05,59.77613886,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_1_FeedingSchedule.txt,10/21/2013,1564.35,14.64579437,226.5,81,21.80425839,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_1_FeedingSchedule.txt,11/21/2013,1179.75,15.82833008,64.25,23.05,26.42284915,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_1_FeedingSchedule.txt,12/21/2013,966.55,15.4015066,17.65,6.1,8.80036115,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_1_FeedingSchedule.txt,1/21/2014,475.5,15.00311776,12.3,18.1,2.39514414,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_1_FeedingSchedule.txt,2/21/2014,92.5,14.91357558,35.95,21.75,3.52350413,19
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_1_FeedingSchedule.txt,3/21/2014,76.5,14.95788561,52.8,30.75,9.56877213,19
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_1_FeedingSchedule.txt,4/21/2014,112.7,14.95278808,97.95,55.2,7.65199913,19
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_10_FeedingSchedule.txt,7/21/2013,10690.75,10.44039101,9805.5,794.4,512.2286067,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_10_FeedingSchedule.txt,8/21/2013,18391.15,15.65559648,8366.2,3327.25,640.7242912,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_10_FeedingSchedule.txt,9/21/2013,20175.4,16.63447379,4332.55,1697.35,617.5288592,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_10_FeedingSchedule.txt,10/21/2013,17243.85,20.07232117,1541.6,561.9,437.1920225,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_10_FeedingSchedule.txt,11/21/2013,13090.1,20.11325456,427.05,150.8,251.5052712,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_10_FeedingSchedule.txt,12/21/2013,11252.25,15.67305747,118.7,40.65,79.29324266,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_10_FeedingSchedule.txt,1/21/2014,8247.3,11.55819645,82.15,126.05,29.22906712,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_10_FeedingSchedule.txt,2/21/2014,6313.9,8.645841795,1923.15,1256.65,107.6755862,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_10_FeedingSchedule.txt,3/21/2014,6538.55,8.707263257,2468.8,3676.1,348.6884395,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_10_FeedingSchedule.txt,4/21/2014,9380.8,10.6813155,9065.55,5959.4,922.7444915,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_11_FeedingSchedule.txt,7/21/2013,1156.2,2.794572795,1011.7,0,53.59627068,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_11_FeedingSchedule.txt,8/21/2013,2032.2,9.487252049,393.25,543.85,27.03205911,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_11_FeedingSchedule.txt,9/21/2013,1528.85,9.145307176,639.45,255.9,38.55737149,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_11_FeedingSchedule.txt,10/21/2013,1605.25,27.20453076,230.85,84.5,53.74264167,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_11_FeedingSchedule.txt,11/21/2013,1390.4,36.03916104,62.55,22.85,36.22471293,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_11_FeedingSchedule.txt,12/21/2013,1252.35,35.53717018,17.15,6.15,13.12575843,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_11_FeedingSchedule.txt,1/21/2014,930.15,35.08840627,12.25,18.5,6.24973492,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_11_FeedingSchedule.txt,2/21/2014,794.35,34.70331279,239.3,162.15,13.46346494,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_11_FeedingSchedule.txt,3/21/2014,941.4,34.3006237,328.35,492.85,32.7456415,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_11_FeedingSchedule.txt,4/21/2014,1535.95,33.73947198,1425.2,906.25,113.266649,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_12_FeedingSchedule.txt,7/21/2013,10690.75,10.44039101,9805.5,794.4,512.2286067,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_12_FeedingSchedule.txt,8/21/2013,18391.15,15.65559648,8366.2,3327.25,640.7242912,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_12_FeedingSchedule.txt,9/21/2013,16232.15,11.00317472,4322.75,1704.85,419.2258268,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_12_FeedingSchedule.txt,10/21/2013,15500.7,24.01753695,1548,557.45,413.68436,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_12_FeedingSchedule.txt,11/21/2013,13156.75,28.38557223,429.2,150.5,242.2029516,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_12_FeedingSchedule.txt,12/21/2013,11743.6,23.86471989,116.75,39.25,100.1780526,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_12_FeedingSchedule.txt,1/21/2014,9144.6,19.71433679,81.45,126.45,50.05773745,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_12_FeedingSchedule.txt,2/21/2014,7678.4,16.16990885,2203,1443.15,68.30379514,0
