colony,hive,cca,date,doy,adult_num,pupae_num,larvae_num,eggs_num,queen,hive_weight,honey_cells,honey_kg,pollen_cells,pollen_g,mites_per100,mites_num,disease
LSCFS_2013_1,A1,CCA2,2013-05-30,150,7323,19092,6192,344,1,NA,14104,7.052,3784,870.32,NA,NA,NA
LSCFS_2013_1,A1,CCA3,2013-06-23,174,5702,0,4644,9632,1,37,15996,7.998,10836,2492.28,0,0,0
LSCFS_2013_1,A1,CCA4,2013-07-17,198,4472,15996,8944,3784,1,60,15824,7.912,4816,1107.68,NA,NA,NA
LSCFS_2013_1,A1,CCA5,2013-08-14,226,7155,17888,10492,1892,1,51,10664,5.332,7740,1780.2,0,0,0
LSCFS_2013_1,A1,CCA6,2013-09-10,253,5311,13760,7396,8256,1,56.5,19264,9.632,4128,949.44,NA,NA,NA
LSCFS_2013_1,A1,CCA7,2013-10-16,289,7770,3612,2236,3096,1,63.5,29240,14.62,2752,632.96,NA,NA,NA
LSCFS_2013_1,A1,CCA8,2014-03-22,81,12354,20296,6192,3440,1,44.5,14104,7.052,7396,1701.08,0.5,617700,1200000
LSCFS_2013_1,A2,CCA2,2013-05-30,150,6820,21844,8428,5160,1,NA,16168,8.084,2408,553.84,NA,NA,NA
LSCFS_2013_1,A2,CCA3,2013-06-23,174,8888,19436,8600,9288,1,37,5676,2.838,1204,276.92,0,0,0
LSCFS_2013_1,A2,CCA4,2013-07-17,198,8329,24424,11352,10492,1,55.5,11008,5.504,3440,791.2,NA,NA,NA
LSCFS_2013_1,A2,CCA5,2013-08-14,226,9000,26488,11868,4816,1,46.5,516,0.258,1376,316.48,1.9,1710000,0
LSCFS_2013_1,A2,CCA6,2013-09-10,253,6652,13072,5848,5848,1,44,9976,4.988,2236,514.28,NA,NA,NA
LSCFS_2013_1,A2,CCA7,2013-10-16,289,5646,6708,3956,2408,1,45,8772,4.386,2752,632.96,NA,NA,NA
LSCFS_2013_1,A2,CCA8,2014-03-22,81,8776,12728,9804,4472,1,39,7568,3.784,6364,1463.72,1.43,1254968,0
LSCFS_2013_1,B2,CCA1,2013-05-12,132,4919,9460,5332,3956,1,NA,2408,1.204,2580,593.4,NA,NA,NA
LSCFS_2013_1,B2,CCA2,2013-05-30,150,8329,20124,8944,4300,1,NA,7396,3.698,4644,1068.12,NA,NA,NA
LSCFS_2013_1,B2,CCA3,2013-06-23,174,6988,23736,12900,4472,1,42.6,5504,2.752,3096,712.08,0.45,314460,0
LSCFS_2013_1,B2,CCA4,2013-07-17,198,5478,22704,12728,4300,1,54,8256,4.128,4644,1068.12,NA,NA,NA
