"colony","hive","cca","date","doy","adult_num_low","adult_num_mean","adult_num_high","honey_kg_low","honey_kg_mean","honey_kg_high","pupae_num_low","pupae_num_mean","pupae_num_high"
"LSCFS_2013_1","A","CCA4",2013-07-17,198,3099.096,3893.4535,10886.003,2.800567296,2.555716352,7.912,7150.212,15390.13,37930.472
"LSCFS_2013_1","A","CCA5",2013-08-14,226,4958.415,3402.2925,11763,0.131276592,2.600361704,5.332,7995.936,16569.964,41135.864
"LSCFS_2013_1","A","CCA6",2013-09-10,253,3680.523,2506.8205,8694.164,2.538014112,3.546992944,9.632,5843.184,7763.048,21369.28
"LSCFS_2013_1","A","CCA7",2013-10-16,289,3912.678,3121.356,10155.39,2.231702064,6.194148968,14.62,1614.564,4401.48,10417.524
"LSCFS_2013_1","A","CCA8",2014-03-22,81,6081.768,5032.455,16146.678,1.445488,2.803256,7.052,5689.416,12915.136,31519.688
"LSCFS_2013_1","B","CCA4",2013-07-17,198,3796.254,2266.6285,8329.511,2.100425472,1.443787264,4.988,6688.908,14285.202,35259.312
"LSCFS_2013_1","B","CCA5",2013-08-14,226,3796.254,4165.6995,12127.653,1.487801376,1.793099312,5.074,0,8814.828,17629.656
"LSCFS_2013_1","B","CCA6",2013-09-10,253,2401.938,3329.093,9060.124,2.756808432,3.093595784,8.944,5843.184,8965.07,23773.324
"LSCFS_2013_1","B","CCA7",2013-10-16,289,2363.13,2763.6145,7890.359,3.194397072,4.207801464,11.61,1845.216,2282.784,6410.784
"LSCFS_2013_1","B","CCA8",2014-03-22,81,5539.842,2454.158,10448.158,3.219496,2.604252,8.428,4843.692,5992.308,16828.308
"LSCFS_2013_1","C","CCA4",2013-07-17,198,2750.517,2679.709,8109.935,2.012907744,3.723546128,9.46,7303.98,17583.732,42471.444
"LSCFS_2013_1","D","CCA4",2013-07-17,198,3486.483,4576.757,12639.997,3.369432528,3.647283736,10.664,2460.288,15598.164,33656.616
"LSCFS_2013_1","D","CCA5",2013-08-14,226,6585.579,5401.3745,17388.328,1.0939716,2.3770142,5.848,8687.892,17426.008,43539.908
"LSCFS_2013_1","D","CCA6",2013-09-10,253,7437.969,3440.7615,14319.492,4.769716176,6.000141912,16.77,8380.356,12638.13,33656.616
"LSCFS_2013_1","D","CCA7",2013-10-16,289,2014.551,892.449,3799.449,6.388794144,3.083602928,12.556,1230.144,1521.856,4273.856
"LSCFS_2013_1","E","CCA4",2013-07-17,198,4820.508,6101.5835,17023.675,2.888085024,2.855957488,8.6,7073.328,12490.296,32053.92
"LSCFS_2013_1","E","CCA5",2013-08-14,226,10149.678,5774.568,21698.814,1.006453872,2.076773064,5.16,10994.412,14402.936,39800.284
"LSCFS_2013_1","E","CCA6",2013-09-10,253,2440.746,7912.2895,18265.325,6.388794144,3.900602928,14.19,6458.256,13332.064,33122.384
"LSCFS_2013_1","E","CCA7",2013-10-16,289,3525.291,5287.966,14101.223,4.025815488,3.663092256,11.352,2844.708,4053.524,10951.756
"LSCFS_2013_1","E","CCA8",2014-03-22,81,4183.641,1926.551,8036.743,1.051264,1.022368,3.096,4305.504,6795.634,17896.772
"LSCFS_2013_1","F","CCA4",2013-07-17,198,5694.381,6248.876,18192.133,2.100425472,4.238787264,10.578,5074.344,11352.86,27780.064
"LSCFS_2013_1","F","CCA5",2013-08-14,226,8871.093,4880.096,18631.285,1.050212736,2.355893632,5.762,9379.848,12539.058,34457.964
"LSCFS_2013_1","F","CCA6",2013-09-10,253,6546.771,9512.342,25571.455,1.706595696,2.328702152,6.364,7150.212,13653.876,34457.964
"LSCFS_2013_1","F","CCA7",2013-10-16,289,2556.477,2740.133,8036.743,0.743900688,3.412049656,7.568,1537.68,3104.342,7746.364
"LSCFS_2013_1","F","CCA8",2014-03-22,81,2363.13,1046.87,4456.87,1.281228,1.036386,3.354,2460.288,3043.712,8547.712
"LSCFS_2013_1","G","CCA4",2013-07-17,198,2053.359,6279.4505,14612.26,4.550921856,3.658539072,11.868,0,19232.352,38464.704
"LSCFS_2013_1","G","CCA5",2013-08-14,226,4803.876,6949.647,18703.17,1.619077968,2.888461016,7.396,6535.14,15029.876,36594.892
"LSCFS_2013_1","G","CCA6",2013-09-10,253,4609.836,5220.1345,15050.105,2.494255248,2.020872376,6.536,8841.66,15212.196,39266.052
"LSCFS_2013_1","G","CCA7",2013-10-16,289,2982.672,3586.359,10155.39,2.231702064,1.292148968,4.816,2075.868,6574.872,15225.612
"LSCFS_2013_1","G","CCA8",2014-03-22,81,2479.554,1098.446,4676.446,1.346932,1.089534,3.526,2229.636,2758.364,7746.364
"LSCFS_2013_1","H","CCA4",2013-07-17,198,1975.743,8254.579,18484.901,2.450496384,2.257751808,6.966,1998.984,16363.048,34725.08
"LSCFS_2013_1","H","CCA5",2013-08-14,226,1200.969,7838.161,16877.291,2.012907744,1.272546128,4.558,384.42,17838.12,36060.66
"LSCFS_2013_1","H","CCA6",2013-09-10,253,6856.542,3037.458,12931.458,8.401701888,4.055149056,16.512,8841.66,10938.34,30718.34
"LSCFS_2013_1","H","CCA7",2013-10-16,289,5888.421,2608.579,11105.579,8.139148704,3.928425648,15.996,2075.868,2568.132,7212.132
"LSCFS_2013_1","H","CCA8",2014-03-22,81,6663.195,2951.805,12566.805,0.722744,0.584628,1.892,6919.56,8560.44,24040.44
"LSCFS_2013_1","I","CCA4",2013-07-17,198,4687.452,2076.548,8840.548,5.163545952,2.492227024,10.148,8303.472,10272.528,28848.528
"LSCFS_2013_1","I","CCA4",2013-07-18,199,4222.449,1870.551,7963.551,3.850780032,1.858609984,7.568,5843.184,7228.816,20300.816
"LSCFS_2013_1","I","CCA5",2013-08-14,226,7554.393,3346.607,14247.607,3.06312048,1.47843976,6.02,9687.384,11984.616,33656.616
"LSCFS_2013_1","I","CCA5",2013-08-15,227,6895.35,3054.65,13004.65,2.144184336,1.034907832,4.214,8072.82,9987.18,28047.18
"LSCFS_2013_1","I","CCA6",2013-09-10,253,9336.096,4135.904,17607.904,5.776170048,2.787914976,11.352,10148.688,12555.312,35259.312
"LSCFS_2013_1","I","CCA6",2013-09-11,254,7786.548,3449.452,14685.452,7.87659552,3.80170224,15.48,7842.168,9701.832,27245.832
"LSCFS_2013_1","I","CCA7",2013-10-16,289,6546.771,4507.839,15562.449,6.695106192,4.736446904,16.168,2306.52,6993.778,16294.076
"LSCFS_2013_1","I","CCA8",2014-03-22,81,5306.994,3848.828,13004.65,1.018412,3.704794,8.428,2614.056,13517.91,29649.876
"LSCFS_2013_1","J","CCA4",2013-07-17,198,2828.133,1983.48,6795.093,2.669290704,4.083354648,10.836,4689.924,9274.584,23239.092
"LSCFS_2013_1","J","CCA5",2013-08-14,226,4765.068,5837.189,16439.446,0.700141824,3.949929088,8.6,6688.908,14819.434,36327.776
"LSCFS_2013_1","J","CCA6",2013-09-10,253,4338.873,2798.4705,9935.814,5.951205504,3.947397248,13.846,7995.936,11361.202,30718.34
"LSCFS_2013_1","J","CCA7",2013-10-16,289,4106.025,2257.4735,8620.972,5.25106368,4.94246816,15.136,2075.868,3102.364,8280.596
"LSCFS_2013_1","J","CCA8",2014-03-22,81,735.966,8217.0465,17170.059,2.95668,2.99366,8.944,0,13756.474,27512.948
